📈 PURCHASES (BUYS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-26   | 11:34 PM | BUY     | Leather         | 100    | 12.2 SFL     | ZeroCool        | -        | 6d172f6b
2026-01-26   | 11:34 PM | BUY     | Leather         | 50     | 6.08 SFL     | Vinny           | -        | 72c2bae2
2026-01-09   | 12:25 AM | BUY     | Blueberry       | 58     | 0.9511 SFL   | Yowaii77        | -        | 2909f81c
2026-01-09   | 12:25 AM | BUY     | Blueberry       | 250    | 4.1 SFL      | kenlee          | -        | 579e59a6
2026-01-09   | 12:25 AM | BUY     | Blueberry       | 100    | 1.64 SFL     | Naim0           | -        | 30a14eb3
2026-01-09   | 12:25 AM | BUY     | Blueberry       | 25     | 0.41 SFL     | Safri           | -        | 43dc23d4
2026-01-09   | 12:25 AM | BUY     | Blueberry       | 30     | 0.492 SFL    | Safri           | -        | 3fd2f4c3
2025-12-19   | 12:33 AM | BUY     | Lunara          | 1      | 3.85 SFL     | Sami            | -        | 1d4ef26d
2025-12-10   | 10:00 PM | BUY     | Clownfish       | 1      | 0.0071 SFL   | Elimineytor     | -        | ec155618
2025-11-25   | 12:04 AM | BUY     | Grape Granny    | 1      | 52 SFL       | bantut          | -        | 9b6ba90b
2025-11-06   | 06:48 AM | BUY     | Hungry Caterpil | 1      | 13 SFL       | Maxam           | -        | b05ddd29
2025-11-05   | 05:53 AM | BUY     | Fountain        | 1      | 1 SFL        | Bekahan         | -        | 6f96d56c
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.1773 SFL   | dhanterz        | -        | 76471a7f
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 4      | 4.7096 SFL   | Stepan          | -        | 42ee2d3c
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 5      | 5.8865 SFL   | GerAgares       | -        | 51720a8b
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.1773 SFL   | Rehann          | -        | a2ef4bce
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.1773 SFL   | Rehann          | -        | 8f7bc741
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.1774 SFL   | naakent         | -        | 457467b9
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.1773 SFL   | Rehann          | -        | b467b5c2
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.177 SFL    | Kandjoet        | -        | 43627a45
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.1774 SFL   | naakent         | -        | 9458d9a7
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.177 SFL    | PangaPangaDFK   | -        | 345e5c88
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.177 SFL    | PangaPangaDFK   | -        | 134ffdfa
2025-11-03   | 05:25 AM | BUY     | Duskberry       | 1      | 1.1774 SFL   | naakent         | -        | 002f27eb
