📊 TRADE OVERVIEW - ASTERION
🔄 Last Updated: 2026-01-31 05:00 AM
================================================================================
💰 Balance: 464.77 SFL | 🪙 71,113 Coins | 💎 0 Gems
📈 Lifetime Earned: 7053.44 SFL | 6,056,771.26 Coins
📉 Lifetime Spent: 8477.02 SFL | 9,284,538.05 Coins
🏪 Total Items Sold: 3,882 | ⭐ Trade Points: 5186.58
📋 Active Listings: 209

📋 ACTIVE LISTINGS
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-26   | 12:51 AM | LISTING | Olive           | 10     | 5.649 SFL    | -               | -        | 13801804
2026-01-26   | 01:43 AM | LISTING | Olive           | 11     | 6.1598 SFL   | -               | -        | 36165767
2025-02-03   | 01:57 PM | LISTING | Merino Wool     | 10     | 3 SFL        | -               | -        | e429eae9
2025-02-03   | 01:58 PM | LISTING | Merino Wool     | 10     | 3.1 SFL      | -               | -        | ef64f6bb
2025-02-03   | 01:58 PM | LISTING | Merino Wool     | 10     | 3.2 SFL      | -               | -        | e4388643
2025-02-04   | 01:28 AM | LISTING | Merino Wool     | 10     | 2.702 SFL    | -               | -        | d6f03e06
2025-08-22   | 12:41 AM | LISTING | Merino Wool     | 20     | 2.3819 SFL   | -               | -        | 3d9fa5ac
2025-08-22   | 12:42 AM | LISTING | Merino Wool     | 20     | 2.4 SFL      | -               | -        | 0e9782d4
2025-08-22   | 12:45 AM | LISTING | Merino Wool     | 20     | 2.36 SFL     | -               | -        | c3a027db
2025-08-22   | 12:46 AM | LISTING | Merino Wool     | 20     | 2.35 SFL     | -               | -        | e09441c4
2025-08-22   | 12:48 AM | LISTING | Merino Wool     | 20     | 2.35 SFL     | -               | -        | 4753726b
2025-08-22   | 12:48 AM | LISTING | Merino Wool     | 20     | 2.35 SFL     | -               | -        | 2ff719b7
2025-08-22   | 12:49 AM | LISTING | Merino Wool     | 20     | 2.35 SFL     | -               | -        | 69faac76
2025-08-22   | 12:50 AM | LISTING | Merino Wool     | 20     | 2.36 SFL     | -               | -        | e44819db
2025-08-22   | 01:01 AM | LISTING | Merino Wool     | 20     | 2.34 SFL     | -               | -        | 221da35e
2025-08-22   | 01:02 AM | LISTING | Merino Wool     | 20     | 2.34 SFL     | -               | -        | 5e2b0230
2025-08-22   | 01:02 AM | LISTING | Merino Wool     | 20     | 2.34 SFL     | -               | -        | d52f0c78
2025-08-22   | 01:03 AM | LISTING | Merino Wool     | 20     | 2.34 SFL     | -               | -        | cf2e77bf
2025-08-22   | 01:57 AM | LISTING | Merino Wool     | 50     | 5.82 SFL     | -               | -        | be751db4
2025-08-22   | 02:00 AM | LISTING | Merino Wool     | 100    | 11.6399 SFL  | -               | -        | b0dd9eab
2025-08-25   | 02:59 PM | LISTING | Pumpkin         | 2000   | 5.2 SFL      | -               | -        | 07176c60
2025-08-25   | 02:59 PM | LISTING | Pumpkin         | 2000   | 5.2 SFL      | -               | -        | a9345721
2025-08-25   | 02:59 PM | LISTING | Pumpkin         | 2000   | 5.2 SFL      | -               | -        | 00a17769
2025-08-30   | 04:29 PM | LISTING | Wheat           | 100    | 3.6 SFL      | -               | -        | c86637a9
2025-08-31   | 10:50 AM | LISTING | Pumpkin         | 2000   | 5 SFL        | -               | -        | faeb0489
2025-08-31   | 11:12 PM | LISTING | Pumpkin         | 2000   | 4.4 SFL      | -               | -        | 56e6c8a0
2025-08-31   | 11:12 PM | LISTING | Pumpkin         | 2000   | 4.6 SFL      | -               | -        | c50babcf
2025-08-31   | 11:55 PM | LISTING | Pumpkin         | 2000   | 4.2498 SFL   | -               | -        | 01a57a0e
2025-08-31   | 11:55 PM | LISTING | Pumpkin         | 2000   | 4.2498 SFL   | -               | -        | d2cd9533
2025-08-31   | 11:55 PM | LISTING | Pumpkin         | 2000   | 4.2498 SFL   | -               | -        | c8eb62cb
2025-08-31   | 11:55 PM | LISTING | Pumpkin         | 2000   | 4.2498 SFL   | -               | -        | 0c688c40
2025-08-31   | 11:56 PM | LISTING | Pumpkin         | 2000   | 4.2498 SFL   | -               | -        | 68c03be1
2025-08-31   | 11:56 PM | LISTING | Pumpkin         | 2000   | 4.2498 SFL   | -               | -        | c7ee82a7
2025-08-31   | 11:56 PM | LISTING | Pumpkin         | 2000   | 4.2497 SFL   | -               | -        | d0cfb1c9
