📈 PURCHASES (BUYS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-27   | 09:11 AM | BUY     | Duskberry       | 5      | 3.7478 SFL   | Soger           | -        | 8f97b639
2026-01-27   | 09:11 AM | BUY     | Duskberry       | 3      | 2.2485 SFL   | SelDyn          | -        | a0d2a627
2026-01-27   | 09:11 AM | BUY     | Duskberry       | 6      | 4.4958 SFL   | MisteriX        | -        | 087f325f
2026-01-27   | 09:11 AM | BUY     | Duskberry       | 8      | 5.995 SFL    | Dmytrock        | -        | e2bbab08
2026-01-27   | 09:10 AM | BUY     | Lunara          | 2      | 0.7795 SFL   | Elay            | -        | 7f768d10
2026-01-27   | 09:10 AM | BUY     | Lunara          | 3      | 1.1693 SFL   | Elay            | -        | ddd62b04
2026-01-27   | 09:10 AM | BUY     | Lunara          | 2      | 0.7795 SFL   | dsadds          | -        | 79cd73bd
2026-01-27   | 09:10 AM | BUY     | Lunara          | 3      | 1.169 SFL    | Tesster         | -        | 9f6bce22
2026-01-27   | 09:10 AM | BUY     | Lunara          | 4      | 1.5592 SFL   | Angel19         | -        | 4b917e90
2026-01-27   | 09:10 AM | BUY     | Lunara          | 4      | 1.559 SFL    | Tesster         | -        | 99af5900
2026-01-27   | 09:10 AM | BUY     | Lunara          | 8      | 3.117 SFL    | Dmytrock        | -        | fbfce80d
2026-01-27   | 09:10 AM | BUY     | Lunara          | 3      | 1.1693 SFL   | Elay            | -        | ed69e165
2026-01-26   | 08:37 AM | BUY     | Leather         | 69     | 8.7277 SFL   | joyespejon12    | -        | 0856bb70
2026-01-26   | 12:17 AM | BUY     | Yam             | 1000   | 2.812 SFL    | McGeorge        | -        | 14ed8414
2026-01-26   | 12:17 AM | BUY     | Broccoli        | 2000   | 6.5588 SFL   | Farmer          | -        | 0d9147ac
2026-01-22   | 07:46 PM | BUY     | Leather         | 100    | 12 SFL       | Darkwolves      | -        | fb4f7f2c
2026-01-21   | 08:04 AM | BUY     | Cauliflower     | 500    | 4.8122 SFL   | Kiwimi          | -        | d7f0b4ab
2026-01-21   | 07:30 AM | BUY     | Wheat           | 338    | 5.0591 SFL   | Aniket          | -        | 78c54d78
2026-01-20   | 09:47 PM | BUY     | Carrot          | 2000   | 3.8012 SFL   | RENTON          | -        | 34996e6c
2026-01-20   | 07:34 PM | BUY     | Lemon           | 300    | 3.12 SFL     | DDoubleD        | -        | d9cf54ff
2026-01-20   | 01:55 PM | BUY     | Apple           | 100    | 1.9799 SFL   | Gamerjod        | -        | 3fe2f051
2026-01-20   | 01:55 PM | BUY     | Apple           | 100    | 1.9799 SFL   | Comearepa       | -        | 3ee96bc3
2026-01-20   | 01:55 PM | BUY     | Apple           | 28     | 0.5543 SFL   | Wulf            | -        | a3199def
