📈 PURCHASES (BUYS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 500    | 1.6124 SFL   | Mosche          | -        | a42d3b04
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 250    | 0.8065 SFL   | MONZA12         | -        | f70b04f4
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 300    | 0.9678 SFL   | MONZA12         | -        | ba755025
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 200    | 0.644 SFL    | Mosche          | -        | e008a137
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 148    | 0.4774 SFL   | lgspl           | -        | 1ff6608a
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 200    | 0.6452 SFL   | MONZA12         | -        | 4f128c0b
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 100    | 0.3226 SFL   | MONZA12         | -        | 18096690
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 150    | 0.4839 SFL   | MONZA12         | -        | 5eea1698
2026-01-29   | 12:14 PM | BUY     | Broccoli        | 100    | 0.3225 SFL   | Bloodfox        | -        | 244eb8c4
2026-01-29   | 12:13 PM | BUY     | Yam             | 1000   | 2.9242 SFL   | Lekowem         | -        | 56c8e070
2026-01-29   | 12:13 PM | BUY     | Yam             | 1000   | 2.9242 SFL   | Lekowem         | -        | 6e28644d
2026-01-29   | 12:13 PM | BUY     | Yam             | 300    | 0.8769 SFL   | Wakusei         | -        | e4e78a49
2026-01-29   | 12:13 PM | BUY     | Yam             | 300    | 0.8769 SFL   | Wakusei         | -        | c614314a
2026-01-29   | 03:57 AM | BUY     | Chewed Bone     | 7      | 3.616 SFL    | HoangPuRo       | -        | ec82ee0e
2026-01-29   | 03:56 AM | BUY     | Wild Grass      | 9      | 5.0103 SFL   | Dirock          | -        | cba472ea
2026-01-29   | 03:56 AM | BUY     | Wild Grass      | 1      | 0.54 SFL     | Masoud          | -        | 97e28925
2026-01-29   | 03:55 AM | BUY     | Frost Pebble    | 5      | 2.6194 SFL   | COdefender      | -        | e02eff6b
2026-01-29   | 03:55 AM | BUY     | Frost Pebble    | 5      | 2.6194 SFL   | COdefender      | -        | 1a0120b3
2026-01-29   | 03:55 AM | BUY     | Heart leaf      | 5      | 2.5625 SFL   | Xenon           | -        | e928de2f
2026-01-29   | 03:55 AM | BUY     | Heart leaf      | 4      | 2.0476 SFL   | Vinyl704        | -        | f47eea4c
2026-01-29   | 03:55 AM | BUY     | Heart leaf      | 1      | 0.5118 SFL   | Veltor          | -        | 94c66991
