📈 PURCHASES (BUYS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-31   | 07:46 AM | BUY     | Wood            | 100    | 0.8749 SFL   | fl2eed0m        | -        | 57688342
2026-01-31   | 01:52 AM | BUY     | Carrot          | 200    | 0.3404 SFL   | Tesster         | -        | eb736283
2026-01-31   | 01:50 AM | BUY     | Wood            | 281    | 2.515 SFL    | Tesster         | -        | 368f5101
2026-01-31   | 01:48 AM | BUY     | Wood            | 500    | 4.42 SFL     | Axelvoz         | -        | 962918c2
2026-01-31   | 01:47 AM | BUY     | Stone           | 200    | 3.1587 SFL   | kuttii          | -        | 40e137be
2026-01-31   | 01:47 AM | BUY     | Gold            | 10     | 2.5594 SFL   | COdefender      | -        | 2c057231
2026-01-31   | 01:43 AM | BUY     | Egg             | 50     | 1.25 SFL     | h4r01d          | -        | 55d6b8ce
2026-01-31   | 01:42 AM | BUY     | Broccoli        | 100    | 0.2964 SFL   | Bloodfox        | -        | d2fbf278
2026-01-30   | 06:21 PM | BUY     | Gold            | 10     | 2.398 SFL    | Moilex09        | -        | cb3a1af4
2026-01-30   | 06:21 PM | BUY     | Gold            | 20     | 4.796 SFL    | EZZZ            | -        | 12d1ca1c
2026-01-30   | 04:08 PM | BUY     | Olive           | 6      | 2.418 SFL    | mooey           | -        | 5692a443
2026-01-30   | 12:59 PM | BUY     | Wood            | 100    | 0.8975 SFL   | JR2025JR        | -        | 0dba73de
2026-01-30   | 11:50 AM | BUY     | Wool            | 19     | 1.119 SFL    | Gps3d           | -        | 6a06c509
2026-01-30   | 09:35 AM | BUY     | Napoleanfish    | 1      | 0.28 SFL     | Kezacolt        | -        | 81e13f99
2026-01-30   | 09:35 AM | BUY     | Napoleanfish    | 1      | 0.275 SFL    | drrohit7b       | -        | 44e80186
2026-01-30   | 09:35 AM | BUY     | Napoleanfish    | 1      | 0.275 SFL    | Billy           | -        | a2555a7c
2026-01-30   | 04:35 AM | BUY     | Carrot          | 500    | 0.8716 SFL   | robbie          | -        | e398c8eb
2026-01-30   | 04:35 AM | BUY     | Wood            | 96     | 0.8615 SFL   | kenProHD        | -        | 3398d18c
2026-01-30   | 04:34 AM | BUY     | Stone           | 83     | 1.3105 SFL   | bakehu          | -        | 5a330b0d
2026-01-30   | 01:32 AM | BUY     | Yam             | 100    | 0.294 SFL    | Zen             | -        | aa75e02c
2026-01-30   | 01:31 AM | BUY     | Lunara          | 2      | 0.7796 SFL   | QarM            | -        | bf6709df
2026-01-30   | 01:31 AM | BUY     | Celestine       | 5      | 0.802 SFL    | Pinkerton       | -        | edde9c0c
2026-01-30   | 01:30 AM | BUY     | White Balloon F | 1      | 0.88 SFL     | Moel029         | -        | 98f97058
2026-01-30   | 01:28 AM | BUY     | Banana          | 50     | 0.9189 SFL   | Coquerokli      | -        | c285d11d
2026-01-30   | 01:26 AM | BUY     | Cauliflower     | 100    | 1.1617 SFL   | heoho           | -        | 8b155bdd
2026-01-29   | 07:33 PM | BUY     | Duskberry       | 5      | 3.9365 SFL   | Patykn          | -        | 8a73da6f
2026-01-29   | 07:31 PM | BUY     | Banana          | 11     | 0.204 SFL    | Noka12          | -        | 54dd352a
2026-01-29   | 12:03 PM | BUY     | Stone           | 50     | 0.795 SFL    | Tapiokka        | -        | 2c4e585c
