📊 TRADE OVERVIEW - JAYSUPER
🔄 Last Updated: 2026-01-29 11:58 PM
================================================================================
💰 Balance: 435.27 SFL | 🪙 77,697 Coins | 💎 0 Gems
📈 Lifetime Earned: 13678.34 SFL | 7,516,405.575 Coins
📉 Lifetime Spent: 15466.58 SFL | 12,244,623.35 Coins
🏪 Total Items Sold: 13,433 | ⭐ Trade Points: 31145.84
📋 Active Listings: 140

📋 ACTIVE LISTINGS
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2025-10-26   | 10:52 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 1b00c271
2025-10-26   | 10:52 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 87f93c72
2025-10-26   | 10:52 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 67b9bc7d
2025-10-26   | 10:52 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 7a23e08d
2025-10-26   | 10:52 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | f2a1e518
2025-10-26   | 10:53 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 549d12ad
2025-10-26   | 10:53 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 71cc1ff6
2025-10-26   | 10:53 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 927bf890
2025-10-26   | 10:53 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 6b9286ae
2025-10-26   | 10:53 PM | LISTING | Carrot          | 2000   | 5 SFL        | -               | -        | 31a7ce1d
2025-11-03   | 02:16 AM | LISTING | Yam             | 1500   | 6 SFL        | -               | -        | a53430bf
2025-11-03   | 02:43 PM | LISTING | Yam             | 2000   | 8.1125 SFL   | -               | -        | f03c9e93
2025-11-03   | 02:44 PM | LISTING | Yam             | 500    | 2.0215 SFL   | -               | -        | dab0afe2
2025-11-03   | 08:45 PM | LISTING | Yam             | 750    | 2.9485 SFL   | -               | -        | f662df8d
2025-11-03   | 08:45 PM | LISTING | Yam             | 750    | 2.9485 SFL   | -               | -        | ac70e11d
2025-12-09   | 03:36 AM | LISTING | Olive           | 5      | 3.2575 SFL   | -               | -        | 4e64b43f
2025-12-10   | 02:42 PM | LISTING | Olive           | 5      | 3.2641 SFL   | -               | -        | ee1e38a9
2025-12-14   | 07:34 PM | LISTING | Tomato          | 400    | 2.8999 SFL   | -               | -        | 6c821ebb
2025-12-14   | 07:34 PM | LISTING | Tomato          | 400    | 2.8999 SFL   | -               | -        | 430eafd8
2025-12-14   | 07:35 PM | LISTING | Tomato          | 400    | 2.8999 SFL   | -               | -        | 97a15676
2025-12-14   | 07:35 PM | LISTING | Tomato          | 400    | 2.8999 SFL   | -               | -        | bdf03f8f
2025-12-14   | 07:35 PM | LISTING | Tomato          | 400    | 2.8999 SFL   | -               | -        | 58c13cf3
2026-01-18   | 10:54 PM | LISTING | Potato          | 3000   | 1.6 SFL      | -               | -        | 7c5bbec9
