📉 SALES (SELLS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-31   | 01:06 AM | SELL    | Tomato          | 125    | 0.6635 SFL   | Killua          | -        | 04353cf1
2026-01-30   | 11:53 PM | SELL    | Wood            | 100    | 0.8958 SFL   | Aladinfarmer    | -        | 17eaee09
2026-01-30   | 11:45 PM | SELL    | Wood            | 100    | 0.8958 SFL   | Zype            | -        | 9a1d32dd
2026-01-30   | 11:44 PM | SELL    | Leather         | 10     | 1.187 SFL    | denveer         | -        | 80329de9
2026-01-30   | 11:44 PM | SELL    | Leather         | 30     | 3.569 SFL    | Cena            | -        | d9df8d84
2026-01-30   | 11:43 PM | SELL    | Wood            | 80     | 0.7133 SFL   | iZukuRT         | -        | 15d426ad
2026-01-30   | 11:43 PM | SELL    | Wood            | 50     | 0.4459 SFL   | Pramana         | -        | 474df2bc
2026-01-30   | 07:36 PM | SELL    | Wood            | 60     | 0.5368 SFL   | VmHiki          | -        | 670be779
2026-01-30   | 06:50 PM | SELL    | Beetroot        | 125    | 0.816 SFL    | AncientFarm     | -        | f7236873
2026-01-30   | 06:40 PM | SELL    | Leather         | 11     | 1.3035 SFL   | pascovcripto    | -        | 83f37765
2026-01-30   | 06:33 PM | SELL    | Leather         | 5      | 0.585 SFL    | PalkaSalyami    | -        | 6bb094ae
2026-01-30   | 06:33 PM | SELL    | Leather         | 5      | 0.585 SFL    | PalkaSalyami    | -        | f6a360f1
2026-01-30   | 06:33 PM | SELL    | Leather         | 5      | 0.585 SFL    | PalkaSalyami    | -        | 107cf4e8
2026-01-30   | 06:33 PM | SELL    | Leather         | 5      | 0.585 SFL    | PalkaSalyami    | -        | 055cfe75
2026-01-30   | 06:33 PM | SELL    | Leather         | 5      | 0.5851 SFL   | EevaNuke        | -        | 0c65351a
2026-01-30   | 06:33 PM | SELL    | Leather         | 5      | 0.5851 SFL   | EevaNuke        | -        | ee32686d
2026-01-30   | 06:33 PM | SELL    | Leather         | 10     | 1.1703 SFL   | Edymax          | -        | 71cdf632
2026-01-30   | 06:33 PM | SELL    | Leather         | 10     | 1.1703 SFL   | Edymax          | -        | c7ab3007
2026-01-30   | 06:33 PM | SELL    | Leather         | 20     | 2.372 SFL    | margg           | -        | e952dfb0
2026-01-30   | 06:33 PM | SELL    | Leather         | 14     | 1.67 SFL     | Raven11         | -        | bc8edca5
2026-01-30   | 06:31 PM | SELL    | Beetroot        | 392    | 2.5595 SFL   | wagnerldf       | -        | be388d2e
2026-01-30   | 06:31 PM | SELL    | Beetroot        | 50     | 0.3265 SFL   | burvega         | -        | b1db1f22
2026-01-30   | 06:28 PM | SELL    | Iron            | 37     | 2.3641 SFL   | Kjcm            | -        | 05f1da99
2026-01-30   | 06:27 PM | SELL    | Stone           | 50     | 0.77 SFL     | Gajelo          | -        | 74f55ac4
2026-01-30   | 06:25 PM | SELL    | Stone           | 50     | 0.77 SFL     | alegria         | -        | f70399b6
2026-01-30   | 06:25 PM | SELL    | Stone           | 60     | 0.924 SFL    | alegria         | -        | fe3b8157
2026-01-30   | 06:23 PM | SELL    | Wood            | 100    | 0.8798 SFL   | Momott          | -        | 70f9f473
2026-01-30   | 06:23 PM | SELL    | Wood            | 50     | 0.4399 SFL   | elena77         | -        | 14b3c35b
2026-01-30   | 12:06 PM | SELL    | Beetroot        | 220    | 1.45 SFL     | Rounae          | -        | 5c78b53d
2026-01-30   | 11:31 AM | SELL    | Wood            | 110    | 0.9845 SFL   | Alyneko         | -        | 2cab2d6b
2026-01-30   | 08:50 AM | SELL    | Leather         | 10     | 1.1611 SFL   | Rayon1          | -        | 30355513
2026-01-30   | 08:50 AM | SELL    | Iron            | 36     | 2.2895 SFL   | Luciferstar     | -        | 6bbbe738
2026-01-30   | 08:42 AM | SELL    | Parsnip         | 20     | 0.361 SFL    | Lalo            | -        | d01aa5d2
2026-01-30   | 08:42 AM | SELL    | Parsnip         | 20     | 0.362 SFL    | BestWishToMe    | -        | 95881b7b
2026-01-30   | 08:41 AM | SELL    | Parsnip         | 20     | 0.362 SFL    | Leckyyy         | -        | deb0bd21
2026-01-30   | 08:41 AM | SELL    | Parsnip         | 20     | 0.362 SFL    | Pranzu          | -        | 2ec71bad
2026-01-30   | 08:03 AM | SELL    | Wood            | 119    | 1.0655 SFL   | Eloperoa        | -        | 732c3a14
2026-01-30   | 07:56 AM | SELL    | Beetroot        | 250    | 1.6477 SFL   | BUDJONSKi       | -        | ed891933
2026-01-30   | 07:53 AM | SELL    | Wood            | 100    | 0.8955 SFL   | Molly1          | -        | cba708af
2026-01-30   | 05:47 AM | SELL    | Yam             | 250    | 0.7244 SFL   | IWillGoCrazy    | -        | 3f0fbca1
2026-01-30   | 05:25 AM | SELL    | Wood            | 220    | 1.9706 SFL   | Brozzor         | -        | c9352e28
2026-01-30   | 04:45 AM | SELL    | Beetroot        | 125    | 0.7858 SFL   | PCVeL           | -        | 3c8ae43a
2026-01-30   | 04:41 AM | SELL    | Beetroot        | 60     | 0.3771 SFL   | backdoorr       | -        | 3f5efcd5
2026-01-30   | 04:41 AM | SELL    | Parsnip         | 30     | 0.54 SFL     | LeLeKintacky    | -        | 545e81e6
2026-01-30   | 03:52 AM | SELL    | Beetroot        | 100    | 0.65 SFL     | Humpala         | -        | be5c3f60
2026-01-30   | 03:08 AM | SELL    | Wood            | 125    | 1.125 SFL    | K1enn           | -        | 73a83245
2026-01-30   | 03:01 AM | SELL    | Wood            | 125    | 1.125 SFL    | CriptoMinero    | -        | 47f04620
2026-01-30   | 02:58 AM | SELL    | Parsnip         | 20     | 0.354 SFL    | Bumpkeen        | -        | cfdcdd63
2026-01-30   | 02:58 AM | SELL    | Parsnip         | 20     | 0.3542 SFL   | Hoangtai        | -        | 7498fbc0
2026-01-30   | 02:58 AM | SELL    | Parsnip         | 20     | 0.356 SFL    | Fefo            | -        | 96789d68
2026-01-30   | 02:58 AM | SELL    | Parsnip         | 25     | 0.445 SFL    | Deficit         | -        | 44ceaec9
2026-01-30   | 02:58 AM | SELL    | Parsnip         | 20     | 0.358 SFL    | GlenFarm        | -        | c0b486cc
2026-01-30   | 02:57 AM | SELL    | Parsnip         | 20     | 0.36 SFL     | Rinfinity       | -        | ad297321
2026-01-30   | 02:57 AM | SELL    | Parsnip         | 25     | 0.45 SFL     | shadyhippo      | -        | 6b5415a8
2026-01-30   | 02:57 AM | SELL    | Parsnip         | 30     | 0.54 SFL     | Bernardddlfg    | -        | 93f37ad3
2026-01-30   | 02:57 AM | SELL    | Parsnip         | 20     | 0.362 SFL    | Henllo          | -        | 5b8f1800
2026-01-30   | 02:57 AM | SELL    | Parsnip         | 25     | 0.46 SFL     | Paalych         | -        | d934a762
2026-01-30   | 02:57 AM | SELL    | Beetroot        | 50     | 0.3126 SFL   | meowman         | -        | d54e8015
2026-01-30   | 02:56 AM | SELL    | Beetroot        | 100    | 0.6253 SFL   | SunnyDays       | -        | ebc03280
2026-01-30   | 02:56 AM | SELL    | Beetroot        | 100    | 0.6253 SFL   | Flyman          | -        | 9612edf5
2026-01-30   | 02:56 AM | SELL    | Beetroot        | 100    | 0.6268 SFL   | weosilvacoin    | -        | ab642753
2026-01-30   | 02:56 AM | SELL    | Beetroot        | 50     | 0.3134 SFL   | AbayLee         | -        | c86f56b4
2026-01-30   | 02:56 AM | SELL    | Beetroot        | 50     | 0.3134 SFL   | Luffy92         | -        | a5739396
2026-01-30   | 02:56 AM | SELL    | Beetroot        | 50     | 0.3134 SFL   | CLR             | -        | d2de51c1
2026-01-30   | 02:56 AM | SELL    | Beetroot        | 91     | 0.5723 SFL   | a10josegonza    | -        | 413634ae
