📈 PURCHASES (BUYS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-31   | 09:22 PM | BUY     | Wheat           | 500    | 7.3333 SFL   | France          | -        | 28737d59
2026-01-31   | 09:22 PM | BUY     | Wheat           | 100    | 1.4694 SFL   | Yoit            | -        | 37e43050
2026-01-31   | 09:22 PM | BUY     | Wheat           | 200    | 2.9352 SFL   | Spartacusnft    | -        | 73de1fb2
2026-01-31   | 09:22 PM | BUY     | Wheat           | 136    | 1.9953 SFL   | Luksm           | -        | 827182a4
2026-01-31   | 09:22 PM | BUY     | Wheat           | 181    | 2.6561 SFL   | RuinZz          | -        | a1515480
2026-01-31   | 09:22 PM | BUY     | Wheat           | 114    | 1.6731 SFL   | Aurolemos       | -        | dbc02f3c
2026-01-31   | 09:22 PM | BUY     | Wheat           | 93     | 1.366 SFL    | DracoZ          | -        | fcd524ff
2026-01-31   | 09:22 PM | BUY     | Wheat           | 119    | 1.7487 SFL   | Simplex         | -        | 1b0b39bf
2026-01-31   | 09:22 PM | BUY     | Wheat           | 75     | 1.102 SFL    | Bessie          | -        | db626921
2026-01-31   | 09:22 PM | BUY     | Wheat           | 500    | 7.3357 SFL   | NguyenFoo       | -        | 6f64099b
2026-01-31   | 09:22 PM | BUY     | Wheat           | 141    | 2.072 SFL    | Tortita         | -        | 0acbdee9
2026-01-31   | 09:22 PM | BUY     | Wheat           | 120    | 1.76 SFL     | DeltaOmega      | -        | 79d9c46a
2026-01-31   | 09:22 PM | BUY     | Wheat           | 127    | 1.864 SFL    | ollo            | -        | 4327b5b9
2026-01-31   | 09:22 PM | BUY     | Wheat           | 500    | 7.3333 SFL   | France          | -        | 443825d5
2026-01-31   | 09:22 PM | BUY     | Wheat           | 100    | 1.4676 SFL   | Erwin888        | -        | 6fc6b83a
2026-01-31   | 09:22 PM | BUY     | Wheat           | 150    | 2.2041 SFL   | ArJ             | -        | 85a4c434
2026-01-31   | 09:22 PM | BUY     | Wheat           | 150    | 2.2041 SFL   | ArJ             | -        | f4220041
2026-01-31   | 09:22 PM | BUY     | Wheat           | 375    | 5.5034 SFL   | Sebsyn          | -        | 3ad29192
2026-01-31   | 09:22 PM | BUY     | Wheat           | 120    | 1.76 SFL     | DeltaOmega      | -        | 67ff8ef5
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | b3415120
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | db8553e4
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 400    | 1.0464 SFL   | nishi10         | -        | 4a783d05
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 94f7b678
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 282    | 0.7377 SFL   | Tungtungsahur   | -        | abebfbfb
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | c7ff1583
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 83e7ace2
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 991ddbdb
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 22b9bd6d
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 802d8394
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 55065972
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 200    | 0.5231 SFL   | TomZe           | -        | 1aefeb83
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 439a2256
2026-01-31   | 01:36 PM | BUY     | Cabbage         | 100    | 0.2616 SFL   | Hoangtai        | -        | 03e824f9
2026-01-31   | 01:36 PM | BUY     | Orange          | 200    | 2.878 SFL    | Joky            | -        | d7ffbb2a
2026-01-31   | 01:03 PM | BUY     | Wheat           | 250    | 3.7357 SFL   | Zustand         | -        | 5ebe9d37
2026-01-31   | 11:18 AM | BUY     | Wheat           | 214    | 3.1672 SFL   | zorokoolrj      | -        | b058ec80
2026-01-31   | 04:29 AM | BUY     | Wheat           | 275    | 4.0316 SFL   | Atheefa         | -        | 9e917ab4
2026-01-31   | 04:29 AM | BUY     | Wheat           | 243    | 3.6637 SFL   | kizz            | -        | fe46897a
2026-01-31   | 04:29 AM | BUY     | Wheat           | 250    | 3.7721 SFL   | Stellarys       | -        | 7cb56cec
2026-01-31   | 04:29 AM | BUY     | Wheat           | 280    | 4.1064 SFL   | Abdel           | -        | 0975a1bb
2026-01-31   | 04:29 AM | BUY     | Wheat           | 350    | 5.2807 SFL   | pimpos          | -        | ceeb4e58
2026-01-31   | 01:05 AM | BUY     | Celestine       | 7      | 1.1824 SFL   | Lucky888        | -        | c20b6153
2026-01-31   | 01:05 AM | BUY     | Duskberry       | 10     | 7.86 SFL     | lwh2101         | -        | e3988747
