📈 PURCHASES (BUYS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | 4eb56458
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | 257abf01
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | e3e238c3
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | 058760c9
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | ba2394f6
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | c4a688ee
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | 76b3dfa7
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | f9cf399b
2026-01-28   | 12:13 PM | BUY     | Iron            | 10     | 0.6439 SFL   | Andrei          | -        | 0e43789d
2026-01-27   | 05:07 PM | BUY     | Rice            | 10     | 3.699 SFL    | Mamontden       | -        | 58cdd454
2026-01-27   | 10:51 AM | BUY     | Leather         | 59     | 7.126 SFL    | Ziag            | -        | 859664d1
2026-01-26   | 09:21 PM | BUY     | Wood            | 500    | 4.406 SFL    | Raquelsantt     | -        | 3129a485
2026-01-24   | 08:07 AM | BUY     | Sunflower       | 3000   | 0.7398 SFL   | wuack           | -        | 80b6022f
2026-01-24   | 06:36 AM | BUY     | Potato          | 3000   | 0.9186 SFL   | Richer          | -        | 07fe32ec
2026-01-22   | 04:12 PM | BUY     | Wheat           | 200    | 2.7 SFL      | Dungchee        | -        | 4ecada91
2026-01-21   | 09:21 PM | BUY     | Stone           | 100    | 1.6055 SFL   | HoangPuRo       | -        | d721edc1
2026-01-21   | 09:13 PM | BUY     | Barley          | 12     | 0.3286 SFL   | Andy            | -        | d32ee82a
2026-01-21   | 09:13 PM | BUY     | Barley          | 12     | 0.3286 SFL   | Andy            | -        | e1232fa8
2026-01-21   | 09:13 PM | BUY     | Barley          | 100    | 2.7387 SFL   | ibumaya         | -        | 795d7c6c
2026-01-21   | 09:11 PM | BUY     | Olive           | 6      | 2.526 SFL    | Yaguerrero      | -        | 1277a643
2026-01-20   | 09:46 PM | BUY     | Wood            | 500    | 4.4999 SFL   | Vitt0c          | -        | 56f4cdd5
2026-01-19   | 04:21 PM | BUY     | Pumpkin         | 2000   | 2.078 SFL    | Nox531          | -        | bf6cb5a7
2026-01-19   | 09:56 AM | BUY     | Honey           | 10     | 0.606 SFL    | ravenmanh       | -        | 7fe160c8
2026-01-18   | 08:58 PM | BUY     | Honey           | 5      | 0.3165 SFL   | Dragonsx        | -        | 7e711dfd
2026-01-18   | 08:45 PM | BUY     | Barley          | 300    | 7.7994 SFL   | izzmekaii       | -        | 80e6df0f
2026-01-18   | 09:59 AM | BUY     | Stone           | 200    | 3.1948 SFL   | Exxcl32         | -        | d055b1e2
2026-01-18   | 09:57 AM | BUY     | Wood            | 500    | 4.3533 SFL   | Oscare          | -        | d62b10f4
2026-01-17   | 08:03 PM | BUY     | Wood            | 200    | 1.7598 SFL   | Lekowem         | -        | 126a49e4
