📊 TRADE OVERVIEW - RUDOLPH
🔄 Last Updated: 2026-01-31 03:28 PM
================================================================================
💰 Balance: 714.99 SFL | 🪙 86,761 Coins | 💎 0 Gems
📈 Lifetime Earned: 16327.83 SFL | 6,563,540.0824 Coins
📉 Lifetime Spent: 10475.38 SFL | 8,968,723.0 Coins
🏪 Total Items Sold: 19,374 | ⭐ Trade Points: 26969.95
📋 Active Listings: 248

📋 ACTIVE LISTINGS
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-17   | 09:44 AM | LISTING | Rich Chicken    | 1      | 33 SFL       | -               | -        | 42938726
2026-01-26   | 01:43 AM | LISTING | Olive           | 5      | 2.7999 SFL   | -               | -        | 68781085
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 8 SFL        | -               | -        | 89506643
2026-01-14   | 12:11 PM | LISTING | Carrot          | 2000   | 4.1972 SFL   | -               | -        | 91318671
2025-07-10   | 05:27 PM | LISTING | Fancy Top       | 1      | 490 SFL      | -               | -        | 8cf9f0b9
2025-07-12   | 12:38 AM | LISTING | Banana          | 200    | 8 SFL        | -               | -        | effc9acd
2025-07-12   | 12:38 AM | LISTING | Banana          | 200    | 8 SFL        | -               | -        | 2004c866
2025-07-12   | 12:38 AM | LISTING | Banana          | 200    | 8 SFL        | -               | -        | 349e9624
2025-07-12   | 12:39 AM | LISTING | Banana          | 200    | 8 SFL        | -               | -        | a372085a
2025-07-21   | 02:15 PM | LISTING | Sunflower Shiel | 1      | 9000 SFL     | -               | -        | 02be6886
2025-07-31   | 01:46 AM | LISTING | Crimstone       | 10     | 12 SFL       | -               | -        | 591c5f59
2025-08-13   | 09:52 PM | LISTING | Bumpkin Emblem  | 200    | 22 SFL       | -               | -        | d10f3cc9
2025-08-13   | 09:52 PM | LISTING | Bumpkin Emblem  | 200    | 21 SFL       | -               | -        | b7f97ef3
2025-08-14   | 04:54 PM | LISTING | Dream Scarf     | 1      | 200 SFL      | -               | -        | 4d42b02a
2025-08-31   | 09:22 PM | LISTING | Pumpkin         | 2000   | 4.8 SFL      | -               | -        | 7546ba81
2025-08-31   | 09:22 PM | LISTING | Pumpkin         | 2000   | 4.8 SFL      | -               | -        | b122dd83
2025-08-31   | 09:22 PM | LISTING | Pumpkin         | 2000   | 5 SFL        | -               | -        | 79b4989b
2025-08-31   | 09:22 PM | LISTING | Pumpkin         | 2000   | 5 SFL        | -               | -        | 35fef429
2025-08-31   | 09:22 PM | LISTING | Pumpkin         | 2000   | 4.6 SFL      | -               | -        | 44e15ad3
2025-08-31   | 09:22 PM | LISTING | Pumpkin         | 2000   | 4.6 SFL      | -               | -        | a600c182
2025-08-31   | 09:22 PM | LISTING | Pumpkin         | 2000   | 4.8 SFL      | -               | -        | 92818dca
2025-08-31   | 09:23 PM | LISTING | Pumpkin         | 2000   | 4.6 SFL      | -               | -        | 6b4f3e11
2025-08-31   | 09:23 PM | LISTING | Pumpkin         | 2000   | 4.8 SFL      | -               | -        | 21d7a0e2
2025-08-31   | 09:23 PM | LISTING | Pumpkin         | 2000   | 5 SFL        | -               | -        | ddc5f329
2025-08-31   | 11:29 PM | LISTING | Pumpkin         | 2000   | 4.2979 SFL   | -               | -        | 2698a8d7
2025-08-31   | 11:29 PM | LISTING | Pumpkin         | 2000   | 4.2979 SFL   | -               | -        | 8dabc21a
2025-08-31   | 11:38 PM | LISTING | Pumpkin         | 2000   | 4.4 SFL      | -               | -        | 93e60227
2025-08-31   | 11:38 PM | LISTING | Pumpkin         | 2000   | 4.4 SFL      | -               | -        | d28d7ca4
2025-08-31   | 11:58 PM | LISTING | Pumpkin         | 2000   | 4.2496 SFL   | -               | -        | db35070a
2025-08-31   | 11:58 PM | LISTING | Pumpkin         | 2000   | 4.2496 SFL   | -               | -        | 0d1719e1
2025-08-31   | 11:58 PM | LISTING | Pumpkin         | 2000   | 4.2496 SFL   | -               | -        | 1ac24be2
2025-09-08   | 09:13 AM | LISTING | White Sheep One | 1      | 200 SFL      | -               | -        | cf1df015
2025-09-08   | 09:13 AM | LISTING | White Sheep One | 1      | 300 SFL      | -               | -        | 03a30f70
2025-09-09   | 01:08 AM | LISTING | Dream Scarf     | 1      | 145 SFL      | -               | -        | c9fbe0e7
2025-09-29   | 12:46 AM | LISTING | Honey           | 10     | 1.6 SFL      | -               | -        | 91760cf7
2025-09-29   | 12:46 AM | LISTING | Honey           | 10     | 1.7 SFL      | -               | -        | 09240811
2025-10-13   | 12:50 AM | LISTING | Honey           | 10     | 1.536 SFL    | -               | -        | 6b9602c8
2025-10-13   | 12:50 AM | LISTING | Honey           | 10     | 1.536 SFL    | -               | -        | 04b7c6d0
2025-10-13   | 12:51 AM | LISTING | Honey           | 25     | 3.84 SFL     | -               | -        | 1226dd02
2025-10-13   | 12:51 AM | LISTING | Honey           | 10     | 1.536 SFL    | -               | -        | 362bc979
2025-11-03   | 01:09 AM | LISTING | Wood            | 500    | 5.8042 SFL   | -               | -        | 2231ee50
2025-11-03   | 01:09 AM | LISTING | Wood            | 500    | 5.8042 SFL   | -               | -        | f4ec1e18
2025-11-03   | 03:07 AM | LISTING | Lunara          | 10     | 5.9985 SFL   | -               | -        | 881205dd
2025-11-03   | 03:07 AM | LISTING | Lunara          | 10     | 5.9985 SFL   | -               | -        | 06c004cc
2025-11-13   | 12:21 AM | LISTING | Pet #548        | 1      | 10000 SFL    | -               | -        | 1d12f881
2025-11-24   | 12:33 AM | LISTING | Honey           | 100    | 11.0779 SFL  | -               | -        | 3e914605
2025-11-24   | 12:34 AM | LISTING | Honey           | 50     | 5.5389 SFL   | -               | -        | f03c4c13
2025-11-24   | 12:48 AM | LISTING | Honey           | 50     | 5.425 SFL    | -               | -        | 6b2bf9e1
2025-12-01   | 12:53 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | bc5e14b1
2025-12-01   | 12:53 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | 342d49ab
2025-12-01   | 12:53 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | 7a00299d
2025-12-01   | 12:53 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | 4c1990b7
2025-12-01   | 12:53 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | 86bf9a2d
2025-12-01   | 12:54 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | bda7f95e
2025-12-01   | 12:54 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | dffab0ad
2025-12-01   | 12:54 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | a6f48dec
2025-12-01   | 12:54 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | 5a7c9d8a
2025-12-01   | 12:54 AM | LISTING | Honey           | 10     | 0.9059 SFL   | -               | -        | 090c69c0
2026-01-01   | 08:38 PM | LISTING | Cabbage         | 1000   | 4.3 SFL      | -               | -        | 6894ba5e
2026-01-02   | 04:19 PM | LISTING | Cabbage         | 1000   | 4.3 SFL      | -               | -        | 8ced94b1
2026-01-04   | 11:14 AM | LISTING | Cabbage         | 2000   | 9 SFL        | -               | -        | e53fec00
2026-01-04   | 11:14 AM | LISTING | Cabbage         | 2000   | 9 SFL        | -               | -        | 58c6c85c
2026-01-04   | 11:14 AM | LISTING | Cabbage         | 2000   | 9 SFL        | -               | -        | f329403c
2026-01-04   | 11:14 AM | LISTING | Cabbage         | 2000   | 9 SFL        | -               | -        | 24adce24
2026-01-04   | 05:09 PM | LISTING | Cabbage         | 1000   | 4.3 SFL      | -               | -        | 5b0f9d3b
2026-01-04   | 05:09 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 2b793912
2026-01-04   | 05:09 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 51c2ca6c
2026-01-04   | 05:09 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 35bc03df
2026-01-04   | 05:09 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 90781f0a
2026-01-04   | 05:10 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 0492e631
2026-01-04   | 05:10 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 20ebb054
2026-01-04   | 05:10 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 6198f8eb
2026-01-04   | 10:17 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | c5299ff0
2026-01-04   | 10:17 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | 7ecc8462
2026-01-04   | 10:17 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | 64bf963e
2026-01-04   | 10:17 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | 8560521f
2026-01-04   | 10:17 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | 3ff94e28
2026-01-04   | 10:17 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | 4cf0a844
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | 0821244d
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 8 SFL        | -               | -        | ce6b9ac0
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 8 SFL        | -               | -        | c3d1e0e3
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 7.36 SFL     | -               | -        | 04c4aa7f
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 7.36 SFL     | -               | -        | 36f97bdf
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 8.5 SFL      | -               | -        | 371ad84a
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 8 SFL        | -               | -        | be06cd79
2026-01-04   | 10:18 PM | LISTING | Cabbage         | 2000   | 8 SFL        | -               | -        | e2e21e3c
2026-01-04   | 10:19 PM | LISTING | Cabbage         | 2000   | 8 SFL        | -               | -        | e8228669
2026-01-04   | 11:25 PM | LISTING | Cabbage         | 2000   | 7.5 SFL      | -               | -        | ca43c566
2026-01-04   | 11:25 PM | LISTING | Cabbage         | 2000   | 7.5 SFL      | -               | -        | 28da5f92
2026-01-04   | 11:25 PM | LISTING | Cabbage         | 2000   | 7.5 SFL      | -               | -        | 258e6638
2026-01-04   | 11:25 PM | LISTING | Cabbage         | 2000   | 7.5 SFL      | -               | -        | a5a8e0de
