📉 SALES (SELLS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2025-11-11   | 02:16 AM | SELL    | Cerberus        | 1      | 11.703 SFL   | Haji            | -        | 10468a1d
2025-11-11   | 02:15 AM | SELL    | Queen Bee       | 1      | 4 SFL        | Exiled          | -        | c915bb9d
2025-11-11   | 02:15 AM | SELL    | Queen Bee       | 1      | 5 SFL        | Rudolph         | -        | bebd8266
2025-11-11   | 02:15 AM | SELL    | Vampire Coffin  | 1      | 15.0001 SFL  | XEN             | -        | c3bbc776
2025-11-11   | 02:15 AM | SELL    | Crim Peckster   | 1      | 5 SFL        | RTS             | -        | b48869ce
2025-11-11   | 02:15 AM | SELL    | Nana            | 1      | 5 SFL        | spikey          | -        | 95f2c3ff
2025-11-11   | 02:14 AM | SELL    | Royal Throne    | 1      | 185 SFL      | JiroCryptoTV    | -        | d8501703
2025-11-11   | 02:13 AM | SELL    | Onion           | 100    | 1.14 SFL     | CryptoLoser     | -        | f97d2992
2025-11-11   | 02:13 AM | SELL    | Onion           | 100    | 1.14 SFL     | CryptoLoser     | -        | f92da8df
2025-11-11   | 02:13 AM | SELL    | Turnip          | 10     | 0.0984 SFL   | Pat             | -        | 2d2fdb8c
2025-11-11   | 02:13 AM | SELL    | Turnip          | 25     | 0.295 SFL    | SirClawn        | -        | c48c7462
2025-11-11   | 02:12 AM | SELL    | Blueberry       | 50     | 0.815 SFL    | oralndo1532     | -        | dcb6b667
2025-11-11   | 02:12 AM | SELL    | Wheat           | 200    | 2.3 SFL      | LongDIF         | -        | cddbee31
2025-11-11   | 02:12 AM | SELL    | Gold            | 3      | 0.8401 SFL   | EstebanKamui    | -        | c1bd788b
2025-11-11   | 02:11 AM | SELL    | Eggplant        | 30     | 0.264 SFL    | Syco65          | -        | c15baf94
2025-11-11   | 02:11 AM | SELL    | Eggplant        | 30     | 0.264 SFL    | DGT             | -        | 171fa2c8
2025-11-11   | 02:11 AM | SELL    | Eggplant        | 30     | 0.2695 SFL   | Leominote       | -        | f63fdebf
