📊 TRADE OVERVIEW - TOURIST
🔄 Last Updated: 2026-01-30 09:18 PM
================================================================================
💰 Balance: 124.27 SFL | 🪙 28,185 Coins | 💎 0 Gems
📈 Lifetime Earned: 13353.49 SFL | 4,648,300.8442403 Coins
📉 Lifetime Spent: 5477.44 SFL | 4,737,703.0 Coins
🏪 Total Items Sold: 12,591 | ⭐ Trade Points: 10449.12
📋 Active Listings: 272

📋 ACTIVE LISTINGS
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-24   | 06:56 PM | LISTING | Radish          | 500    | 7.75 SFL     | -               | -        | 22665124
2026-01-24   | 06:44 PM | LISTING | Radish          | 500    | 7.75 SFL     | -               | -        | 33031255
2026-01-25   | 11:54 PM | LISTING | Olive           | 100    | 57 SFL       | -               | -        | 36221596
2026-01-24   | 06:55 PM | LISTING | Radish          | 500    | 7.75 SFL     | -               | -        | 41627051
2026-01-24   | 06:50 PM | LISTING | Radish          | 500    | 7.75 SFL     | -               | -        | 91942136
2026-01-25   | 11:54 PM | LISTING | Olive           | 100    | 57 SFL       | -               | -        | 93611430
2025-11-12   | 01:55 AM | LISTING | Pet #25         | 1      | 2500 SFL     | -               | -        | 7cdf5099
2025-11-14   | 03:39 AM | LISTING | Pet #760        | 1      | 2500 SFL     | -               | -        | 081ca8f4
2025-11-14   | 03:40 AM | LISTING | Pet #2973       | 1      | 3000 SFL     | -               | -        | b1f39a40
2025-12-29   | 07:19 AM | LISTING | Duskberry       | 10     | 9.65 SFL     | -               | -        | 740aec78
2025-12-29   | 07:19 AM | LISTING | Duskberry       | 10     | 9.65 SFL     | -               | -        | 62631fa3
2025-12-29   | 07:19 AM | LISTING | Duskberry       | 10     | 9.65 SFL     | -               | -        | 491924de
2025-12-29   | 07:19 AM | LISTING | Duskberry       | 10     | 9.65 SFL     | -               | -        | 833378e4
2026-01-01   | 05:59 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | d1d44d73
2026-01-01   | 05:59 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | c6942ffc
2026-01-01   | 05:59 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | dda3ae76
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 165c11b6
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | e1620642
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | d105f4f1
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 5809acd3
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 22145a50
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 29e37d86
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | ff36a59a
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | f2d8fe3b
2026-01-01   | 06:00 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 0f7b8a0d
2026-01-01   | 06:01 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | cfebb3a4
2026-01-01   | 06:01 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 892d7fe8
2026-01-01   | 06:01 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 6205a10b
2026-01-01   | 06:01 PM | LISTING | Cabbage         | 2000   | 8.6 SFL      | -               | -        | 0aa4fdb8
