📊 TRADE OVERVIEW - VITT0C
🔄 Last Updated: 2026-01-31 02:18 AM
================================================================================
💰 Balance: 22851.15 SFL | 🪙 16,315 Coins | 💎 0 Gems
📈 Lifetime Earned: 15135.85 SFL | 8,421,744.2618785 Coins
📉 Lifetime Spent: 14331.72 SFL | 10,467,171.16 Coins
🏪 Total Items Sold: 10,257 | ⭐ Trade Points: 97967.47
📋 Active Listings: 139

📋 ACTIVE LISTINGS
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-18   | 11:44 PM | LISTING | Crimstone       | 5      | 3.2224 SFL   | -               | -        | 23176080
2025-12-09   | 03:27 AM | LISTING | Grape           | 5      | 2.8985 SFL   | -               | -        | e2f42f8e
2025-12-09   | 03:27 AM | LISTING | Grape           | 5      | 2.8985 SFL   | -               | -        | 23a42c8b
2025-12-09   | 07:51 AM | LISTING | Grape           | 5      | 2.6124 SFL   | -               | -        | 28433ac1
2025-12-09   | 07:51 AM | LISTING | Grape           | 5      | 2.6124 SFL   | -               | -        | 596fd515
2025-12-25   | 06:45 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | deafd3db
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | d4f174af
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | b465a88c
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | 826cb8b4
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | 4dcce83e
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | af111019
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | 2b1f2e30
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | 95c12370
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | 8fee1e13
2025-12-25   | 06:46 PM | LISTING | Wool            | 20     | 1.423 SFL    | -               | -        | a24fda56
2025-12-28   | 12:57 AM | LISTING | Wool            | 20     | 1.3999 SFL   | -               | -        | 35c173ec
2025-12-29   | 08:49 PM | LISTING | Yam             | 2000   | 6.2572 SFL   | -               | -        | 7456d166
2025-12-29   | 08:51 PM | LISTING | Wool            | 20     | 1.3077 SFL   | -               | -        | 89d1a1b8
2025-12-30   | 12:34 AM | LISTING | Yam             | 1000   | 3.0999 SFL   | -               | -        | 04f05c20
2025-12-30   | 12:34 AM | LISTING | Yam             | 1000   | 3.0999 SFL   | -               | -        | b8b04130
2025-12-30   | 12:34 AM | LISTING | Yam             | 1000   | 3.0999 SFL   | -               | -        | c1cb081f
2025-12-30   | 12:34 AM | LISTING | Yam             | 1000   | 3.0999 SFL   | -               | -        | 2fa2b2f2
2025-12-30   | 12:35 AM | LISTING | Yam             | 1000   | 3.0999 SFL   | -               | -        | c2ce3bc2
2026-01-02   | 05:01 AM | LISTING | Broccoli        | 1000   | 3.7219 SFL   | -               | -        | 51deb80c
2026-01-02   | 05:01 AM | LISTING | Broccoli        | 1000   | 3.7219 SFL   | -               | -        | 4f64b771
2026-01-04   | 03:20 AM | LISTING | Yam             | 2000   | 6.1069 SFL   | -               | -        | fb5eac13
2026-01-04   | 04:12 AM | LISTING | Yam             | 2000   | 6.0979 SFL   | -               | -        | 4652c9a7
2026-01-04   | 04:12 AM | LISTING | Yam             | 2000   | 6.0979 SFL   | -               | -        | df1c89ad
2026-01-04   | 04:12 AM | LISTING | Yam             | 2000   | 6.0979 SFL   | -               | -        | bbac0da8
2026-01-04   | 10:44 PM | LISTING | Yam             | 2000   | 6.007 SFL    | -               | -        | a6b77516
2026-01-04   | 10:44 PM | LISTING | Yam             | 2000   | 6.007 SFL    | -               | -        | 1c70e6e9
2026-01-04   | 10:44 PM | LISTING | Yam             | 2000   | 6.007 SFL    | -               | -        | f1e906e5
2026-01-04   | 10:44 PM | LISTING | Yam             | 2000   | 6.007 SFL    | -               | -        | d2a13235
2026-01-04   | 10:44 PM | LISTING | Yam             | 2000   | 6.007 SFL    | -               | -        | 1eb88575
2026-01-09   | 04:08 AM | LISTING | Cabbage         | 2000   | 5.8799 SFL   | -               | -        | 19a152aa
2026-01-09   | 04:08 AM | LISTING | Cabbage         | 2000   | 5.8799 SFL   | -               | -        | d19f1825
