📈 PURCHASES (BUYS)
================================================================================
Date         | Time     | Type    | Item            | Qty    | Price        | Counterparty    | Farm ID  | Trade ID
--------------------------------------------------------------------------------
2026-01-30   | 01:07 AM | BUY     | Stone           | 200    | 3.1844 SFL   | Naya            | -        | dd951b44
2026-01-29   | 08:32 PM | BUY     | Gold            | 14     | 3.36 SFL     | Tyrker          | -        | 5ffd1e75
2026-01-29   | 08:18 PM | BUY     | Crimstone       | 10     | 5.32 SFL     | DocDogDocDog    | -        | ae4f9f1e
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 200    | 0.6448 SFL   | Solushn         | -        | 6957a81e
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | Mor3nah         | -        | 2013684e
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 300    | 0.9672 SFL   | Solushn         | -        | 3b58b4f7
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3223 SFL   | Mor3nah         | -        | 21892022
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | quyet92         | -        | 133ac0a6
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | Solushn         | -        | caadead5
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | quyet92         | -        | 97d05999
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | Mor3nah         | -        | 4f4fab32
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | quyet92         | -        | d2f090a2
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 200    | 0.6447 SFL   | JaySuper        | -        | d28eabe8
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | quyet92         | -        | 6ce65aeb
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3223 SFL   | Mor3nah         | -        | da04e3a3
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | Solushn         | -        | fd155ba5
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | Mor3nah         | -        | 0bee3b63
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | quyet92         | -        | 7b16391a
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 200    | 0.6448 SFL   | Solushn         | -        | 8cb46db4
2026-01-29   | 08:17 PM | BUY     | Broccoli        | 100    | 0.3224 SFL   | quyet92         | -        | 42ddb03a
2026-01-29   | 08:16 PM | BUY     | Yam             | 1000   | 2.9142 SFL   | JaySuper        | -        | 6880b38e
